Orbital Period(Hr),Eccentricity,Transit_duration(Hr),Transist dept(ppm),Planet star radius ratio,Planet radius (Earth Radius),Orbital Semi major axis(au),inclination(degree),planet star distance over star radius,stellar effective temperature(K),Stellar radius(solar radius),Stellar mass(solar mass)
0.566799395,0,1.5368,231,0.014025,1.65,0.0139,89.17,2.916,6322,1.075,1.124
0.566799725,0,4.097,46.7,0.006244,0.77,0.0131,74.25,1.217,5576,1.132,0.928
0.566799833,0,5.543,198,0.014788,1.27,0.0128,34.16,1.028,5488,0.789,0.877
0.566799927,0,4.71,145,0.010897,0.77,0.012,80.47,1.137,5092,0.645,0.712
0.566800113,0,3.315,104,0.01014,0.58,0.0109,52.36,1.23,3844,0.526,0.531
0.566800287,0,3.487,73.9,0.008292,0.88,0.0136,58.84,1.252,6075,0.969,1.048
0.5668004,0,3.813,93.2,0.009229,0.88,0.0133,60.78,1.214,6215,0.872,0.968
0.566800593,0,3.909,12.3,0.003239,0.48,0.0143,80.91,1.268,6476,1.353,1.202
0.56680081,0,3.6116,128,0.010174,1.02,0.013,89.84,1.363846,5506,0.914,0.904
0.566800926,0,4.407,265,0.020096,2.19,0.0134,20.83,1.0383,5780,1,1
0.566801045,0,1.7499,188,0.013226,1.42,0.0129,72.73,2.117,6106,0.982,0.893
0.566801325,0,4.176,92.1,0.009594,1.07,0.0138,45.88,1.106,6273,1.021,1.077
0.566801447,0,2.352,16.2,0.003854,0.57,0.0135,68.18,1.654,5966,1.349,1.014
0.566801506,0,1.738,29.5,0.005078,0.62,0.0135,81.22,2.421,6398,1.111,1.023
0.566801617,0,2.75,24.9,0.004748,0.88,0.0143,68.05,1.51,6287,1.693,1.211
0.566801886,0,5.733,5.9,0.002284,0.54,0.0163,68.75,1.029,7589,2.169,1.809
0.566801906,0,1.626,89.7,0.008589,0.55,0.0111,86.74,2.722,4208,0.583,0.57
0.56680208,,1.22,,,,,,,,,
0.566802325,0,1.842,288,0.015554,1.4,0.0123,80.21,2.309,5233,0.824,0.764
0.566802672,0,3.545,31.7,0.005053,1.08,0.0127,84.63,1.371,5102,1.961,0.86
0.566802891,0,1.861,49.2,0.006762,1.29,0.0148,71.62,1.991,6487,1.748,1.343
0.566803149,0,1.643,246,0.016134,1.93,0.0142,62.98,1.81,6147,1.096,1.193
0.566803216,0,3.325,20.2,0.004218,0.54,0.0138,72.05,1.377,6473,1.182,1.087
0.566803738,0,1.8481,101,0.009761,1.13,0.0136,69.33,1.935,6300,1.057,1.028
0.566803996,0,3.399,142,0.010722,0.64,0.0111,85.05,1.425,4373,0.544,0.569
0.566804221,0,4.639,166,0.012113,0.85,0.0115,61.27,1.115,5277,0.64,0.628
